season,name,nation,team,position,90s,goal,shoot,ontarget,ontarget%,shoot/90,ontarget/90,goal/shoot,goal/ontarget,fk,pass,shortpass,mediumpass,longpass,assist,keypass,throw,cross,ck,tackle,cut,block,intercept,clearing,match,time,foul,gainfoul,offside,world,rank
17,Miguel Britos,uy URU,Watford,DF,8.9,1,3,2,66.7,0.34,0.23,0.33,0.5,0,310,70,150,88,0,3,0,4,0,4,9,1,12,29,12,797,8,6,0,,7
17,Salomón Rondón,ve VEN,WBA,FW,30.7,7,82,28,34.1,2.67,0.91,0.09,0.25,1,563,346,158,42,3,22,3,29,1,11,27,0,14,17,36,2767,41,58,29,,
18,Salomón Rondón,ve VEN,NewCastle,FW,28.9,11,89,29,32.6,3.08,1,0.12,0.38,9,538,337,153,27,7,30,2,13,0,8,19,5,10,38,32,2603,22,26,20,,
18,Aaron Ramsey,wal WAL,Arsenal,MF,14.8,4,33,12,36.4,2.23,0.81,0.12,0.33,0,647,324,242,70,6,24,5,23,2,19,9,1,10,2,28,1331,21,20,5,20,20
17,Aaron Ramsey,wal WAL,Arsenal,MF,20.5,7,54,23,42.6,2.63,1.12,0.13,0.3,0,1034,446,457,105,8,29,0,19,0,22,20,3,19,6,24,1846,28,33,0,20,20
17,Andy King,wal WAL,Leicester,MF,6,1,6,2,33.3,1.01,0.34,0.17,0.5,0,163,68,65,22,0,2,0,5,0,5,5,3,1,8,11,537,9,5,1,20,20
17,Andy King,wal WAL,Swansea,MF,7.9,2,8,4,50,1.01,0.5,0.25,0.5,0,290,122,121,41,1,3,0,8,0,11,6,0,10,9,11,715,4,6,0,20,20
17,Ashley Williams,wal WAL,Everton,DF,20.4,1,14,3,21.4,0.69,0.15,0.07,0.33,0,600,135,305,151,0,2,0,0,0,14,39,21,28,127,24,1834,25,4,3,20,20
17,Ben Davies,wal WAL,Tottenham,FB,25.8,2,18,6,33.3,0.7,0.23,0.11,0.33,0,1275,561,572,116,6,41,0,89,41,26,38,4,26,48,29,2324,24,25,0,20,20
18,Ben Davies,wal WAL,Tottenham,FB,20.5,0,15,1,6.7,0.73,0.05,0,0,0,1071,482,489,92,0,17,0,33,7,24,39,11,13,66,27,1844,18,14,0,20,20
19,Ben Davies,wal WAL,Tottenham,FB,15.9,0,7,1,14.3,0.44,0.06,0,0,0,730,301,350,65,0,10,1,29,0,13,43,13,12,67,18,1431,27,8,1,20,20
